Year;Nationality;الجنسية;Country;الدولة;Gender;النوع;Number of Students
2021/2022;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;70
2021/2022;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;52
2021/2022;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;121
2021/2022;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;694
2020/2021;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;12
2020/2021;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;125
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;294
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;41
2020/2021;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;636
2020/2021;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;504
2019/2020;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;66
2019/2020;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;41
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;114
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;77
2019/2020;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;264
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;642
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;320
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;146
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;47
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;56
2018/2019;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;18
2018/2019;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;109
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;671
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;68
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;33
2017/2018;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;40
2017/2018;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;80
2017/2018;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;236
2016/2017;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;17
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;26
2016/2017;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;222
2016/2017;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;88
2016/2017;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;254
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;266
2014/2015;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;42
2014/2015;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;67
2014/2015;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;18
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;28
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;612
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;86
2022/2023;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;428
2022/2023;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;540
2022/2023;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;633
2021/2022;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;6019
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;494
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;594
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;41
